"customer_id","signup_date","city","acquisition_channel"
"CUST000057","30-12-2024","Hyderabad","Organic"
"CUST000066","16-12-2024","Pune","Organic"
"CUST000075","01-12-2024","Hyderabad","Organic"
"CUST000087","29-12-2024","Hyderabad","Social"
"CUST000100","25-12-2024","Hyderabad","Social"
"CUST000102","14-11-2024","Delhi","Organic"
"CUST000103","27-12-2024","Ahmedabad","Organic"
"CUST000121","27-12-2024","Pune","Organic"
"CUST000123","19-12-2024","Bengaluru","Social"
"CUST000127","29-12-2024","Ahmedabad","Organic"
"CUST000139","27-11-2024","Delhi","Referral"
"CUST000147","31-12-2024","Bengaluru","Referral"
"CUST000149","20-12-2024","Bengaluru","Referral"
"CUST000158","07-12-2024","Hyderabad","Referral"
"CUST000161","30-12-2024","Bengaluru","Organic"
"CUST000178","25-12-2024","Ahmedabad","Paid"
"CUST000188","15-12-2024","Ahmedabad","Social"
"CUST000193","05-12-2024","Mumbai","Paid"
"CUST000198","17-12-2024","Hyderabad","Organic"
"CUST000200","12-12-2024","Chennai","Organic"
"CUST000201","25-12-2024","Bengaluru","Organic"
"CUST000211","28-11-2024","Mumbai","Paid"
"CUST000215","27-12-2024","Mumbai","Paid"
"CUST000218","27-12-2024","Chennai","Organic"
"CUST000220","08-12-2024","Chennai","Social"
"CUST000252","03-12-2024","Delhi","Organic"
"CUST000286","21-12-2024","Mumbai","Organic"
"CUST000302","22-12-2024","Delhi","Paid"
"CUST000305","28-11-2024","Delhi","Paid"
"CUST000310","29-12-2024","Bengaluru","Social"
"CUST000313","25-12-2024","Hyderabad","Organic"
"CUST000325","23-12-2024","Chennai","Social"
"CUST000337","31-12-2024","Mumbai","Referral"
"CUST000346","28-11-2024","Hyderabad","Referral"
"CUST000353","21-12-2024","Ahmedabad","Organic"
"CUST000354","30-12-2024","Chennai","Organic"
"CUST000391","14-12-2024","Kolkata","Organic"
"CUST000395","13-12-2024","Bengaluru","Organic"
"CUST000400","21-12-2024","Bengaluru","Referral"
"CUST000401","25-12-2024","Mumbai","Organic"
"CUST000408","21-12-2024","Pune","Organic"
"CUST000414","21-12-2024","Ahmedabad","Paid"
"CUST000419","19-12-2024","Bengaluru","Referral"
"CUST000434","08-12-2024","Kolkata","Social"
"CUST000435","04-12-2024","Bengaluru","Paid"
"CUST000452","09-11-2024","Bengaluru","Organic"
"CUST000454","07-12-2024","Bengaluru","Social"
"CUST000462","04-12-2024","Hyderabad","Referral"
"CUST000468","20-12-2024","Bengaluru","Paid"
"CUST000475","15-12-2024","Delhi","Organic"
"CUST000492","17-12-2024","Mumbai","Referral"
"CUST000499","27-12-2024","Bengaluru","Organic"
"CUST000507","22-12-2024","Pune","Referral"
"CUST000509","23-12-2024","Mumbai","Organic"
"CUST000521","08-12-2024","Hyderabad","Organic"
"CUST000522","24-12-2024","Hyderabad","Organic"
"CUST000523","25-11-2024","Mumbai","Organic"
"CUST000526","30-12-2024","Bengaluru","Paid"
"CUST000539","19-12-2024","Bengaluru","Organic"
"CUST000540","21-12-2024","Delhi","Organic"
"CUST000575","29-12-2024","Delhi","Organic"
"CUST000586","19-12-2024","Delhi","Referral"
"CUST000593","26-12-2024","Hyderabad","Organic"
"CUST000615","03-12-2024","Bengaluru","Organic"
"CUST000620","03-12-2024","Chennai","Organic"
"CUST000630","19-12-2024","Bengaluru","Organic"
"CUST000635","29-11-2024","Delhi","Paid"
"CUST000638","09-12-2024","Bengaluru","Organic"
"CUST000645","18-12-2024","Bengaluru","Organic"
"CUST000665","10-11-2024","Bengaluru","Referral"
"CUST000667","12-11-2024","Pune","Organic"
"CUST000672","03-12-2024","Pune","Paid"
"CUST000674","18-11-2024","Delhi","Paid"
"CUST000682","20-12-2024","Mumbai","Social"
"CUST000692","11-12-2024","Chennai","Organic"
"CUST000695","07-12-2024","Hyderabad","Referral"
"CUST000698","21-12-2024","Pune","Organic"
"CUST000703","23-12-2024","Mumbai","Organic"
"CUST000716","29-12-2024","Mumbai","Organic"
"CUST000727","19-11-2024","Mumbai","Social"
"CUST000742","13-12-2024","Bengaluru","Organic"
"CUST000748","21-12-2024","Chennai","Organic"
"CUST000753","15-12-2024","Chennai","Referral"
"CUST000762","19-11-2024","Ahmedabad","Social"
"CUST000780","27-12-2024","Pune","Organic"
"CUST000792","19-12-2024","Delhi","Referral"
"CUST000797","03-12-2024","Pune","Paid"
"CUST000809","26-12-2024","Mumbai","Organic"
"CUST000816","15-12-2024","Hyderabad","Referral"
"CUST000826","12-12-2024","Ahmedabad","Paid"
"CUST000845","16-12-2024","Ahmedabad","Organic"
"CUST000850","21-12-2024","Mumbai","Organic"
"CUST000866","30-12-2024","Delhi","Organic"
"CUST000871","28-12-2024","Hyderabad","Social"
"CUST000879","26-12-2024","Hyderabad","Organic"
"CUST000894","25-12-2024","Hyderabad","Organic"
"CUST000901","17-12-2024","Mumbai","Referral"
"CUST000905","19-12-2024","Pune","Organic"
"CUST000906","19-12-2024","Ahmedabad","Organic"
"CUST000908","27-12-2024","Chennai","Referral"
"CUST000910","25-12-2024","Chennai","Organic"
"CUST000923","28-12-2024","Pune","Organic"
"CUST000930","31-12-2024","Bengaluru","Social"
"CUST000931","08-12-2024","Bengaluru","Organic"
"CUST000935","08-12-2024","Pune","Social"
"CUST000950","23-11-2024","Mumbai","Organic"
"CUST000958","28-11-2024","Delhi","Organic"
"CUST000980","10-12-2024","Bengaluru","Organic"
"CUST000998","01-12-2024","Mumbai","Paid"
"CUST001015","18-12-2024","Hyderabad","Organic"
"CUST001022","24-12-2024","Kolkata","Paid"
